crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
1161640539,2019-01-31,2019-01-31,2020-02-29,"wiki-stage.epicgames.net","wiki-stage.epicgames.net
wiki-stage.it.epicgames.net
wiki-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1161640707,2019-01-31,2019-01-31,2020-02-29,"helpdesk.epicgames.net","helpdesk.epicgames.net
helpdesk.it.epicgames.net
servicedesk.epicgames.net
servicedesk.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1161640590,2019-01-31,2019-01-31,2020-02-29,"helpdesk-stage.epicgames.net","helpdesk-stage.epicgames.net
helpdesk-stage.it.epicgames.net
servicedesk-stage.epicgames.net
servicedesk-stage.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1163414376,2019-02-01,2019-02-01,2021-03-02,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
1220599806,2019-02-20,2019-02-20,2020-05-21,"*.infosec.epicgames.net","*.infosec.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
1226175216,2019-02-22,2019-02-22,2020-03-22,"netbox.it.epicgames.net","netbox.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1227006364,2019-02-22,2019-02-22,2020-03-22,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1244096214,2019-03-01,2019-03-01,2020-04-01,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1254572360,2019-03-04,2019-03-04,2021-06-02,"rdu-nexpose-01.epicgames.net","rdu-nexpose-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
1254577764,2019-03-04,2019-03-04,2021-06-02,"releasenotes.epicgames.net","releasenotes.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
1254848704,2019-03-04,2019-03-04,2020-04-04,"*.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-lt.ol.epicgames.net
*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1255005165,2019-03-05,2019-03-05,2020-04-05,"*.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-lt.ol.epicgames.net
*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1259428045,2019-03-06,2019-03-06,2021-06-04,"robomerge.epicgames.net","robomerge.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
1285051486,2019-03-14,2019-03-14,2020-04-14,"github-ci.ol.epicgames.net","*.github-ci.ol.epicgames.net
github-ci.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1285412943,2019-03-14,2019-03-14,2020-04-14,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1301028655,2019-03-20,2019-03-20,2020-04-20,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1301134309,2019-03-20,2019-03-20,2020-04-20,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1320180829,2019-03-27,2019-03-27,2020-04-27,"*.payment-ci.ol.epicgames.net","*.payment-ci.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1351914691,2019-04-05,2019-03-20,2020-04-20,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1386818762,2019-04-15,2019-04-15,2020-05-15,"helpdesk-stage.epicgames.com","helpdesk-stage.epicgames.net
helpdesk-stage.it.epicgames.net
servicedesk-stage.epicgames.net
servicedesk-stage.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1432865058,2019-04-30,2019-04-30,2020-05-30,"deploymentserver.splunk.epicgames.net","deploymentserver.splunk.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
